fsa,electric,hev_sedan,hev_suv,ice_sedan,ice_suv,ice_van/pickup
G1T,0.0279131165551938,0.0212350629364234,0.0188333820795653,0.3688124296273731,0.5415915610042095,0.0216144477972347
G1V,0.010105512432066,0.0153137908676961,0.0081428311662707,0.5628007468615289,0.3844152175404227,0.0192219011320154
G1W,0.0154158671613074,0.0196633149385149,0.0123276133855976,0.4765918694574721,0.4541673958063378,0.02183393925077
G1X,0.012551021512884,0.0150954206611514,0.0114633150319171,0.5171122651317096,0.421014428772314,0.0227635488900237
G1Y,0.0214130288540538,0.018690705639958,0.0135274055370365,0.4166818902029617,0.4947744548881899,0.0349125148777998
G1Z,0.0,0.0,0.0,1.0,0.0,0.0
G2A,0.0096218068043919,0.0125491217399606,0.0083524475582161,0.4340335940403586,0.4596316654483005,0.0758113644087722
G2B,0.0071365854163818,0.0108721325247255,0.0072815268061636,0.4671751190495236,0.4495512418746538,0.0579833943285515
G2C,0.0115291563171466,0.0131229770711767,0.0095979742391987,0.4717334396073809,0.4529022465472155,0.0411142062178813
G2E,0.0095658439240345,0.0094526967161979,0.0100538788525603,0.4495816267705727,0.4561811575502069,0.0651647961864274
G2G,0.008520306040829,0.0145558764744928,0.0093608337680903,0.4474803143734611,0.453079456450764,0.0670032128923626
G2H,0.0,0.0,0.0,0.0,1.0,0.0
G2J,0.009000253546579,0.0119694340671924,0.0103925739616045,0.546611410736917,0.3928081038151255,0.0292182238725814
G2K,0.0107237201964301,0.0139840821230254,0.0106899008309587,0.4597227737616035,0.4692428517832447,0.0356366713047373
G2L,0.0108091637473564,0.0121770426821031,0.0156651680939147,0.446431253830758,0.4600767777344524,0.054840593911415
G2M,0.0095138739227071,0.0115668180761297,0.0117243240450597,0.4123435316846235,0.4767652987162804,0.0780861535551996
G2N,0.0056892925537703,0.0102766394150032,0.0086554059424869,0.4181147541642323,0.4596213159355977,0.0976425919889094
G2P,0.0854645791091604,0.0854645791091604,0.0854645791091604,0.5974645791091605,0.0606771044541976,0.0854645791091604
G2R,0.0,0.0,0.0,0.0,1.0,0.0
G2S,0.0,0.0,0.0,1.0,0.0,0.0
G2V,0.0,0.0,0.0,0.0,1.0,0.0
G2W,0.0,0.0,0.0,0.0,1.0,0.0
G2Z,0.0,0.0,0.0,1.0,0.0,0.0
G3A,0.0167891530481792,0.0153523689056794,0.0150346928243069,0.4038200862462707,0.4877547717349843,0.0612489272405793
G3B,0.0211143899934881,0.0142062033692442,0.0168549093357523,0.3250115965782394,0.5257773554433876,0.097035545279888
G3C,0.010372095746145,0.012491186396204,0.0133542376311848,0.3520747909956224,0.4836066976174403,0.1281009916134033
G3E,0.0073101978800076,0.009949408752184,0.0101925185012912,0.4423823049988922,0.4539293503083536,0.0762362195592711
G3G,0.0067354043062852,0.0098344494618382,0.0056929303551749,0.4169238727914016,0.4448643102987303,0.1159490327865696
G3H,0.0077145384395942,0.0075686507145649,0.0048439351587083,0.4362966758969627,0.4177190486528208,0.125857151137349
G3J,0.0110406781258018,0.0104123367369937,0.0066337472126272,0.4468306969478723,0.4322437793839502,0.0928387615927546
G3K,0.0102194892916329,0.0085338490854159,0.0068257910809235,0.4487988408163095,0.4475857359322636,0.0780362937934545
G3L,0.0033399859988831,0.0073741214274321,0.0069491769246125,0.3824406413440326,0.4052548432376532,0.1946412310673863
G3M,0.0068395285424203,0.0100788683373566,0.0064107096982637,0.4737887638188433,0.4242411054814352,0.0786410241216809
G3N,0.0138316375357583,0.0102015273376186,0.0077039413694098,0.3658534276892333,0.4623981553220811,0.1400113107458986
G3P,0.030389363722697,0.030389363722697,0.030389363722697,0.4369420702754035,0.4415004748338081,0.030389363722697
G3R,0.5888888888888888,0.0888888888888888,0.0888888888888888,0.0555555555555555,0.0888888888888888,0.0888888888888888
G3S,0.0137277701507157,0.0084671388373666,0.0045130871637161,0.3967063567543193,0.4313398622386177,0.1452457848552643
G3T,0.0,0.0,0.0,1.0,0.0,0.0
G3V,0.0,0.0,0.0,0.25,0.0,0.75
G3X,0.0,0.0,0.0,1.0,0.0,0.0
G3Z,0.0072788241620482,0.0057242982658692,0.0036382267832944,0.394205172886681,0.4659397581683341,0.1232137197337729
G4A,0.0009149986340041,0.0036599945360167,0.0051614198380876,0.4251408877899963,0.4086692879646791,0.1564534112372159
G4B,0.0,0.0,0.0,1.0,0.0,0.0
G4J,0.0,0.0,0.0,1.0,0.0,0.0
G4N,0.0,0.0,0.0,0.0,1.0,0.0
G4R,0.0044617350125612,0.006666464194862,0.009711310701336,0.3583025802332227,0.4509666664318398,0.1698912434261781
G4S,0.0030313355071621,0.0080182604569828,0.0058790874672682,0.3585483156290772,0.4190442092497137,0.2054787916897959
G4T,0.0020817452994514,0.0026341603632235,0.0028587361618945,0.3347958340698929,0.4658533841996222,0.1917761399059153
G4V,0.0020437678859425,0.0026074233750419,0.0047645646498632,0.385594737452173,0.4036862593149965,0.2013032473219827
G4W,0.0037205048562431,0.0097294594859221,0.0097942108851804,0.4167265248938866,0.4108717958247623,0.1491575040540053
G4X,0.0017215354801283,0.0059029084036089,0.0053360484105011,0.3874373215485712,0.4033455907899315,0.1962565953672587
G4Y,0.0,0.0,0.0,1.0,0.0,0.0
G4Z,0.0022853946345298,0.0092973650048696,0.0074654695281529,0.3649185132852279,0.3957646370276526,0.220268620519567
G5A,0.0032391702307431,0.0074055907891306,0.0111070186593428,0.4187775463068502,0.4117270309620359,0.1477436430518972
G5B,0.0014584477168872,0.0045527208374543,0.0069142921951448,0.3409350238683624,0.401850287315519,0.244289228066632
G5C,0.0025094695553761,0.005550179292755,0.0097809143273676,0.3820025768826845,0.3795767022587616,0.220580157683055
G5G,0.0,0.0,0.0,1.0,0.0,0.0
G5H,0.006291060169126,0.0066139505161368,0.0046891448418512,0.4429621785937578,0.4051625427957677,0.1342811230833603
G5J,0.0052768488528201,0.0075480465584229,0.0055145044338681,0.3524690065929171,0.4268505843400342,0.2023410092219373
G5K,0.0,0.0,0.0,0.0,0.5,0.5
G5L,0.0086185383669516,0.0121349240231,0.0093848079724593,0.472936346237445,0.4230734063053144,0.0738519770947295
G5M,0.0098308765085124,0.0108430551137178,0.0160978617624312,0.3896220252715898,0.4763416316423179,0.0972645497014307
G5N,0.0102461685929218,0.0131706766804282,0.014552098928382,0.3677128528941603,0.4488177117218756,0.1455004911822318
G5R,0.0092237747248541,0.0089791643257433,0.0079782017520134,0.4466607230958531,0.4372087366215905,0.0899493994799454
G5T,0.0081194030086886,0.0071114797594935,0.0064674386984705,0.3885661723041989,0.3983275991747435,0.1914079070544048
G5V,0.0046052791939805,0.0075875608838693,0.0069163570537037,0.459412570334533,0.4179561899182439,0.1035220426156694
G5W,0.0,0.0,0.0,1.0,0.0,0.0
G5X,0.0027111946375378,0.005932686573934,0.0056469868381176,0.4408766309858264,0.4063440556181644,0.1384884453464193
G5Y,0.0057758740520507,0.0082169894890484,0.0058640626107281,0.4757759257488946,0.40594408041748,0.0984230676817981
G5Z,0.0053199621091756,0.0067091170623787,0.006192035306548,0.4176834245348774,0.4455509855019789,0.1185444754850411
G6A,0.0083543119479883,0.0074168034754679,0.0044907358126831,0.4166531833217963,0.4663124444207214,0.0967725210213427
G6B,0.0086453644876893,0.0069722945811403,0.0035519533586993,0.4152254084366162,0.4444004649667736,0.1212045141690811
G6C,0.0053603744749015,0.0093146614778537,0.0089875039612345,0.4513027093875661,0.4191767236637778,0.1058580270346661
G6E,0.0067763243684051,0.0092172499811724,0.0030896670489058,0.4685896194951111,0.412971614380948,0.0993555247254572
G6G,0.0049504722113426,0.0082753021303575,0.0085548299922275,0.4729184214323584,0.4160647023617027,0.0892362718720112
G6H,0.0070425569663262,0.0081006133648558,0.0029424204611843,0.4436410657464498,0.4020697989104788,0.136203544550705
G6J,0.0121430003104503,0.0095633830949477,0.0068799912124561,0.4351329735609475,0.449427033493554,0.0868536183276442
G6K,0.0137900952024107,0.0125683497061009,0.0120456465765974,0.425693644850854,0.4718262373650215,0.0640760262990153
G6L,0.0062896453561523,0.0112952878799245,0.0073623839187422,0.4583019973916881,0.4031915931279016,0.1135590923255911
G6N,0.0,0.0,0.0,1.0,0.0,0.0
G6P,0.0082040789548532,0.0128670587195857,0.0093360999701839,0.5316363747611546,0.374716782562843,0.0632396050313793
G6R,0.0119591321963941,0.0167957111854356,0.0078132731905149,0.4088025345328112,0.4291968977887663,0.1254324511060776
