,CFSAUID
16357,G0A
16383,G0A
16408,G0A
16409,G0A
16438,G0A
16439,G0A
16440,G0A
16442,G0A
16473,G0A
16474,G0A
16476,G0A
16488,G0A
16489,G0A
16490,G0A
16497,G0A
16530,G0A
16580,G0A
16670,G0A
16697,G0A
16698,G0A
16699,G0A
16701,G0A
16702,G0A
16709,G0A
16717,G0A
16720,G0A
16721,G0A
16722,G0A
16746,G0A
16747,G0A
16748,G0A
16756,G0A
16757,G0A
16760,G0A
16765,G0A
16788,G0A
16789,G0A
16820,G0A
16821,G0A
16824,G0A
16857,G0A
16858,G0A
16897,G0A
16974,G0A
16975,G0A
17000,G0A
17001,G0A
17013,G0A
17014,G0A
17015,G0A
17021,G0A
17022,G0A
17039,G0A
17040,G0A
17050,G0A
17053,G0A
17079,G0A
17080,G0A
17081,G0A
17082,G0A
17129,G0A
17130,G0A
17132,G0A
17136,G0A
17137,G0A
17147,G0A
17148,G0A
17149,G0A
17150,G0A
17191,G0A
17192,G0A
17193,G0A
17229,G0A
17230,G0A
17231,G0A
17232,G0A
17286,G0A
17289,G0A
17290,G0A
17299,G0A
17300,G0A
17317,G0A
17318,G0A
17319,G0A
17355,G0A
17360,G0A
17369,G0A
17402,G0A
17404,G0A
17405,G0A
17442,G0A
17443,G0A
17451,G0A
17467,G0A
17472,G0A
17473,G0A
17496,G0A
17581,G0A
17582,G0A
17620,G0A
17632,G0A
17633,G0A
17634,G0A
17635,G0A
17636,G0A
17637,G0A
17700,G0A
17701,G0A
17702,G0A
17718,G0A
17788,G0A
17789,G0A
17837,G0A
17838,G0A
17846,G0A
17847,G0A
17872,G0A
17873,G0A
17925,G0A
17926,G0A
17929,G0A
17946,G0A
17951,G0A
17953,G0A
17954,G0A
17974,G0A
17975,G0A
17976,G0A
17977,G0A
17978,G0A
17979,G0A
18020,G0A
18041,G0A
18042,G0A
18046,G0A
18056,G0A
18060,G0A
18067,G0A
18068,G0A
18082,G0A
18146,G0A
18168,G0A
18207,G0A
18210,G0A
18211,G0A
18229,G0A
18230,G0A
18246,G0A
18258,G0A
18259,G0A
18268,G0A
18277,G0A
18308,G0A
18309,G0A
18323,G0A
18324,G0A
18334,G0A
18339,G0A
18340,G0A
18341,G0A
18400,G0A
18405,G0A
18406,G0A
